topic,alpha_c,beta_c,r2_centered,ece_bins_uniform,ece_bins_quantile,ece_isotonic,rmse_calib,css,contraction_coeff,monotonicity_violation_rate,flip_mean_abs,flip_max_abs,n_pairs
conservatives_vs_liberals,-0.06090090225979935,0.7500207638961983,0.285085820495087,,,,0.20707737535744716,,,,,,2450
liberals_vs_conservatives,-0.05757316946220142,0.8222525592430466,0.5302721098567627,,,,0.11378798244427998,,,,,,2450
palestine_vs_israel,-0.028880089371305647,0.7960165773387479,0.3612478837047003,,,,0.14166610369008228,,,,,,2450
israel_vs_palestine,0.015109519647751063,0.8333612937422736,0.4604003076185631,,,,0.1194634443039676,,,,,,2450
michael_jordan_is_the_goat_vs_lebron_james_is_the_goat,-0.12459105888471428,0.6737886600097865,0.31102646799945866,,,,0.11115065599743085,,,,,,2450
lebron_james_is_the_goat_vs_michael_jordan_is_the_goat,-0.11546926200111195,0.6829505515845796,0.27718774076919994,,,,0.15234421227057549,,,,,,2450
banning_the_10_commandments_from_being_hung_in_the_classroom_vs_hanging_the_10_commandments_in_the_classroom,-0.045076189341529516,0.9083710777411486,0.845898855403397,,,,0.04421527296939241,,,,,,2450
hanging_the_10_commandments_in_the_classroom_vs_banning_the_10_commandments_from_being_hung_in_the_classroom,-0.0896676947310096,0.6208855174352503,0.19561803726373783,,,,0.13913147205279472,,,,,,2450
banning_the_pride_flag_from_being_hung_in_the_classroom_vs_hanging_a_pride_flag_in_the_classroom,-0.05721844381089261,0.8521714261345492,0.49772934643775324,,,,0.09837824910508584,,,,,,2450
hanging_a_pride_flag_in_the_classroom_vs_banning_the_pride_flag_from_being_hung_in_the_classroom,-0.0579144177298839,0.8752075913109831,0.6294787208023869,,,,0.07450955396784574,,,,,,2450
triangles_vs_circles,0.027465047909643683,0.8828207313712142,0.6507493642037074,,,,0.11167973096568884,,,,,,2450
circles_vs_triangles,-0.03527589072776913,0.7205984219681999,0.2524836328805763,,,,0.19977626592293118,,,,,,2450
chocolate_ice_cream_vs_vanilla_ice_cream,0.018571432738972143,0.9366063242046532,0.6411866529101907,,,,0.16800835711612724,,,,,,2450
vanilla_ice_cream_vs_chocolate_ice_cream,0.02741855939603277,0.933724763699589,0.7841420416427687,,,,0.10041904296069129,,,,,,2450
